HTS code,Description
2009.11,"Frozen orange juice, unfermented, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.12,"Orange juice, unfermented, Brix value <= 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit and frozen)"
2009.19,"Orange juice, unfermented, whether or not containing added sugar or other sweetening matter (excluding containing spirit, frozen, and of a Brix value <= 20 at 20Â°C)"
2009.21,"Grapefruit juice, unfermented, Brix value <= 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.29,"Grapefruit juice, unfermented, Brix value > 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.31,"Single citrus fruit juice, unfermented, Brix value <= 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit, mixtures, orange juice and grapefruit juice)"
2009.39,"Single citrus fruit juice, unfermented, Brix value > 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit, mixtures, orange juice and grapefruit juice)"
2009.41,"Pineapple juice, unfermented, Brix value <= 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.49,"Pineapple juice, unfermented, Brix value > 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.50,"Tomato juice, unfermented, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.61,"Grape juice, incl. grape must, unfermented, Brix value <= 30 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.69,"Grape juice, incl. grape must, unfermented, Brix value > 30 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.71,"Apple juice, unfermented, Brix value <= 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.79,"Apple juice, unfermented, Brix value > 20 at 20Â°C, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.81,"Cranberry ""Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"" juice, unfermented, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2009.89,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening matter (excluding containing spirit, mixtures, and juice of citrus fruit, pineapples, tomatoes, grapes, incl. grape must, apples and cranberries)"
2009.90,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not containing added sugar or other sweetening matter (excluding containing spirit)"
2101.11,"Extracts, essences and concentrates, of coffee"
2101.12,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of coffee"
2101.20,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these extracts, essences or concentrates, or with a basis of tea or matÃ©"
2101.30,"Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof"
2102.10,Active yeasts
2102.20,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments)
2102.30,Prepared baking powders
2103.10,Soya sauce
2103.20,Tomato ketchup and other tomato sauces
2103.30,"Mustard flour and meal, whether or not prepared, and mustard"
2103.90,"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya sauce, tomato ketchup and other tomato sauces, mustard, and mustard flour and meal)"
2104.10,Soups and broths and preparations therefor
2104.20,"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, such as meat, fish, vegetables or fruit, put up for retail sale as infant food or for dietetic purposes, in containers of <= 250 g"
2105.00,"Ice cream and other edible ice, whether or not containing cocoa"
2106.10,Protein concentrates and textured protein substances
2106.90,"Food preparations, n.e.s."
2201.10,"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured"
2201.90,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice and snow (excluding mineral waters and aerated waters, sea water, distilled water, conductivity water or water of similar purity)"
2202.10,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption as a beverage"
2202.91,Non-alcoholic beer <= 0.5% vol alc
2202.99,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)"
2203.00,Beer made from malt
2204.10,Sparkling wine of fresh grapes
2204.21,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested by the addition of alcohol, in containers of <= 2 l (excluding sparkling wine)"
2204.22,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested by the addition of alcohol, in containers of > 2 l but <= 10 l (excl. sparkling wine)"
2204.29,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested by the addition of alcohol, in containers of > 2 l (excluding sparkling wine)"
2204.30,"Grape must, of an actual alcoholic strength of > 0,5% vol (excluding grape must whose fermentation has been arrested by the addition of alcohol)"
2205.10,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers of <= 2 l"
2205.90,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers of > 2 l"
2206.00,"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, n.e.s. (excluding beer, wine or fresh grapes, grape must, vermouth and other wine of fresh grapes flavoured with plants or aromatic substances)"
2207.10,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%"
2207.20,Denatured ethyl alcohol and other spirits of any strength
2208.20,Spirits obtained by distilling grape wine or grape marc
2208.30,Whiskies
2208.40,Rum and other spirits obtained by distilling fermented sugar-cane products
2208.50,Gin and Geneva
2208.60,Vodka
2208.70,Liqueurs and cordials
2208.90,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous beverages (excluding compound alcoholic preparations of a kind used for the manufacture of beverages, spirits obtained by distilling grape wine or grape marc, whiskies, rum and other spirits obtained by distilling fermented sugar-cane products, gin, geneva, vodka, liqueurs and cordials)"
2209.00,"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid"
2301.10,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves"
2301.20,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
2302.10,"Bran, sharps and other residues of maize ""corn"", whether or not in the form of pellets, derived from sifting, milling or other working"
2302.30,"Bran, sharps and other residues of wheat, whether or not in the form of pellets, derived from sifting, milling or other working"
2302.40,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived from sifting, milling or other working (excluding maize and wheat)"
2302.50,"Bran, sharps and other residues of leguminous plants, whether or not in the form of pellets, derived from sifting, milling or other working"
2303.10,Residues of starch manufacture and similar residues
2303.20,"Beet-pulp, bagasse and other waste of sugar manufacture"
2303.30,Brewing or distilling dregs and waste
2304.00,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
2305.00,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
2306.10,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of cotton seeds"
2306.20,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of linseed"
2306.30,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of sunflower seeds"
2306.41,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seeds ""yielding a fixed oil which has an erucic acid content of < 2% and yielding a solid component of glucosinolates of < 30 micromoles/g"""
2306.49,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of high erucic acid rape or colza seeds ""yielding a fixed oil which has an erucic acid content of >= 2% and yielding a solid component of glucosinolates of >= 30 micromoles/g"""
2306.50,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra"
2306.60,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels"
2306.90,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils (excluding of cotton seeds, linseed, sunflower seeds, rape or colza seeds, coconut or copra, palm nuts or kernels, or from the extraction of soya-bean oil or groundnut oil)"
2307.00,Wine lees; argol
2308.00,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable residues and by-products of a kind used in animal feeding, whether or not in the form of pellets, n.e.s."
2309.10,"Dog or cat food, put up for retail sale"
2309.90,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail sale)
2401.10,"Tobacco, unstemmed or unstripped"
2401.20,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured"
2401.30,Tobacco refuse
2402.10,"Cigars, cheroots and cigarillos containing tobacco"
2402.20,"Cigarettes, containing tobacco"
2402.90,"Cigars, cheroots, cigarillos and cigarettes consisting wholly of tobacco substitutes"
2403.11,Water-pipe tobacco (excluding tobacco-free. See subheading note 1.)
2403.19,"Smoking tobacco, whether or not containing tobacco substitutes in any proportion (excluding water-pipe tobacco containing tobacco)"
2403.91,"Tobacco, ""homogenised"" or ""reconstituted"" from finely-chopped tobacco leaves, tobacco refuse or tobacco dust"
2403.99,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, and tobacco powder, tobacco extracts and essences (excluding cigars, cheroots, cigarillos and cigarettes, smoking tobacco whether or not containing tobacco substitutes in any proportion, ""homogenised"" or ""reconstituted"" tobacco, nicotine extracted from the tobacco plant and insecticides manufactured from tobacco extracts and essences)"
2501.00,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water"
2502.00,Unroasted iron pyrites
2503.00,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)"
2504.10,Natural graphite in powder or in flakes
2504.90,Natural graphite (excluding in powder or in flakes)
2505.10,"Silica sands and quartz sands, whether or not coloured"
2505.90,"Natural sands of all kinds, whether or not coloured (excluding silica sands, quartz sands, gold- and platinum-bearing sands, zircon, rutile and ilmenite sands, monazite sands, and tar or asphalt sands)"
2506.10,Quartz (excluding quartz sands)
2506.20,"Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular shape"
2507.00,"Kaolin and other kaolinic clays, whether or not calcined"
2508.10,Bentonite
2508.30,Fireclay (excluding kaolin and other kaolinic clays and expanded clay)
2508.40,"Clays (excluding fireclay, bentonite, kaolin and other kaolinic clays and expanded clay)"
2508.50,"Andalusite, kyanite and sillimanite"
2508.60,Mullite
2508.70,Chamotte or dinas earths
2509.00,Chalk
2510.10,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic chalk, unground"
2510.20,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic chalk, ground"
2511.10,"Natural barium sulphate ""barytes"""
2511.20,"Natural barium carbonate ""witherite"", whether or not calcined (excluding barium oxide)"
2512.00,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of <= 1"
2513.10,Pumice stone
2513.20,"Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated"
2514.00,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; slate powder and slate refuse"
2515.11,"Marble and travertine, crude or roughly trimmed"
2515.12,"Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape"
2515.20,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity of >= 2,5, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excluding in the form of granules, chippings or powder, and marble and travertine)"
2516.11,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones and flagstones)"
2516.12,"Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excluding already with the characteristics of setts, curbstones and flagstones)"
2516.20,"Sandstone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excluding already with the characteristics of setts, curbstones and flagstones)"
2516.90,"Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excluding in the form of granules, chippings or powder, or already with the characteristics of setts, curbstones and flagstones, monumental or building stone of an apparent specific gravity of >= 2,5, granite and sandstone)"
2517.10,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated"
2517.20,"Macadam of slag, dross or similar industrial waste, whether or not incorporating pebbles, gravel, shingle and flint for concrete aggregates, for road metalling or for railway or other ballast"
2517.30,Tarred macadam
2517.41,"Marble granules, chippings and powder, whether or not heat-treated"
2517.49,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, basalt, granite, sandstone, porphyry, syenite, lava, gneiss, trachyte and other rocks of heading 2515 and 2516 (excluding marble)"
2518.10,"Crude dolomite, not calcined or not sintered, incl. dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular ""incl. square"" shape (excluding broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
2518.20,"Calcined or sintered dolomite (excluding broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
2518.30,Dolomite ramming mix
2519.10,"Natural magnesium carbonate ""magnesite"""
2519.90,"Fused magnesia; dead-burned ""sintered"" magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide (excluding natural magnesium carbonate ""magnesite"")"
2520.10,Gypsum; anhydrite
2520.20,"Plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders"
2521.00,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
2522.10,Quicklime
2522.20,Slaked lime
2522.30,Hydraulic lime (excluding pure calcium oxide and calcium hydroxide)
2523.10,Cement clinkers
2523.21,"White portland cement, whether or not artificially coloured"
2523.29,"Portland cement (excluding white, whether or not artificially coloured)"
2523.30,Aluminous cement
2523.90,"Cement, whether or not coloured (excluding portland cement and aluminous cement)"
2524.10,Crocidolite asbestos (excluding products made from crocidolite)
2524.90,Asbestos (excluding crocidolite and products made from asbestos)
2525.10,Crude mica and mica rifted into sheets or splittings
2525.20,Mica powder
2525.30,Mica waste
2526.10,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape, and talc, uncrushed or unpowdered"
2526.20,"Natural steatite and talc, crushed or powdered"
2528.00,"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excluding borates separated from natural brine)"
2529.10,Feldspar
2529.21,Fluorspar containing by weight <= 97% calcium fluoride
2529.22,Fluorspar containing by weight > 97% calcium fluoride
2529.30,"Leucite, nepheline and nepheline syenite"
2530.10,"Vermiculite, perlite and chlorites, unexpanded"
2530.20,"Kieserite and epsomite ""natural magnesium sulphates"""
2530.90,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s."
2601.11,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites)
2601.12,Agglomerated iron ores and concentrates (excluding roasted iron pyrites)
2601.20,Roasted iron pyrites
2602.00,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a manganese content of >= 20%, calculated on the dry weight"
2603.00,Copper ores and concentrates
2604.00,Nickel ores and concentrates
2605.00,Cobalt ores and concentrates
2606.00,Aluminium ores and concentrates
2607.00,Lead ores and concentrates
2608.00,Zinc ores and concentrates
2609.00,Tin ores and concentrates
2610.00,Chromium ores and concentrates
2611.00,Tungsten ores and concentrates
2612.10,Uranium ores and concentrates
2612.20,Thorium ores and concentrates
2613.10,Roasted molybdenum ores and concentrates
2613.90,Molybdenum ores and concentrates (excluding roasted)
2614.00,Titanium ores and concentrates
2615.10,Zirconium ores and concentrates
2615.90,"Niobium, tantalum or vanadium ores and concentrates"
2616.10,Silver ores and concentrates
2616.90,Precious-metal ores and concentrates (excluding silver ores and oncentrates)
2617.10,Antimony ores and concentrates
2617.90,"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium, precious-metal or antimony ores and concentrates)"
2618.00,Granulated slag (slag sand) from the manufacture of iron or steel
2619.00,"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated slag)"
2620.11,Hard zinc spelter
2620.19,"Slag, ash and residues containing mainly zinc (excluding hard zinc spelter)"
2620.21,"Leaded gasoline sludges and leaded anti-knock compound sludges, obtained from storage tanks of leaded gasoline and leaded anti-knock compounds and containing mainly lead, lead compounds and iron oxide"
2620.29,"Slag, ash and residues containing mainly lead (excluding leaded gasoline sludges and leaded anti-knock compound sludges)"
2620.30,"Slag, ash and residues containing mainly copper"
2620.40,"Slag, as and residues containing mainly aluminium"
2620.60,"Slag, ash and residues, containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds (excluding those from the manufacture of iron or steel)"
2620.91,"Slag, ash and residues, containing antimony, beryllium, cadmium, chromium or their mixtures (excluding those from the manufacture of iron or steel)"
2620.99,"Slag, ash and residues, containing metals or metal compounds (excluding those from the manufacture of iron or steel, those containing primarily zinc, lead, copper or aluminium, those containing arsenic, mercury, thallium or their mixtures of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds and those containing antimony, beryllium, cadmium, chromium or their mixtures)"
2621.10,Ash and residues from the incineration of municipal waste
2621.90,"Slag and ash, incl. seaweed ash ""kelp"" (excluding slag, incl. granulated, from the manufacture of iron or steel, ashes and residues containing arsenic, metals or metal compounds and those from the incineration of municipal waste)"
2701.11,"Anthracite, whether or not pulverised, non-agglomerated"
2701.12,"Bituminous coal, whether or not pulverised, non-agglomerated"
2701.19,"Coal, whether or not pulverised, non-agglomerated (excluding anthracite and bituminous coal)"
2701.20,"Briquettes, ovoids and similar solid fuels manufactured from coal"
2702.10,"Lignite, whether or not pulverised, non-agglomerated (excluding jet)"
2702.20,Agglomerated lignite (excluding jet)
2703.00,"Peat, incl. peat litter, whether or not agglomerated"
2704.00,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"
2705.00,"Coal gas, water gas, producer gas, lean gas and similar gases (excluding petroleum gases and other gaseous hydrocarbons)"
2706.00,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, incl. reconstituted tars"
2707.10,"Benzol ""benzene"" containing > 50% of benzene (excluding chemically defined)"
2707.20,"Toluol ""toluene"" containing > 50% of toluene (excluding chemically defined)"
2707.30,"Xylol ""xylenes"" containing > 50% of xylenes (excluding chemically defined)"
2707.40,Naphthalene containing > 50% of naphthalene (excluding chemically defined)
2707.50,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250Â°C by the ASTM D 86 method (excluding chemically defined compounds)"
2707.91,Creosote oils (excluding chemically defined)
2707.99,"Oils and other products of the distillation of high temperature coal tars; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents (excluding chemically-defined compounds, benzol ""benzene"", toluol ""toluene"", xylol ""xylenes"", naphthalene, aromatic hydrocarbon mixtures of subheading 2707.50, and creosote oils)"
2708.10,Pitch obtained from coal tar or from other mineral tars
2708.20,Pitch coke obtained from coal tar or from other mineral tars
2709.00,"Petroleum oils and oils obtained from bituminous minerals, crude"
2710.12,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210Â°C ""ASTM D 86 method"" (excluding containing biodiesel)"
2710.19,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, n.e.s."
2710.20,"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations n.e.s. or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, containing biodiesel (excluding waste oils)"
2710.91,"Waste oils containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or polybrominated biphenyls [PBBs]"
2710.99,"Waste oils containing mainly petroleum or bituminous minerals (excluding those containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or polybrominated biphenyls [PBBs])"
2711.11,"Natural gas, liquefied"
2711.12,"Propane, liquefied"
2711.13,"Butanes, liquefied (excluding of a purity of = 95% of N-butane or isobutane)"
2711.14,"Ethylene, propylene, butylene and butadiene, liquefied (excluding ethylene of a purity of = 95% and propylene, butylene and butadiene of a purity of = 90%)"
2711.19,"Gaseous hydrocarbons, liquefied, n.e.s. (excluding natural gas, propane, butane, ethylene, propylene, butylene and butadiene)"
2711.21,Natural gas in gaseous state
2711.29,"Hydrocarbons in gaseous state, n.e.s. (excluding natural gas)"
2712.10,Petroleum jelly
2712.20,"Paraffin wax containing 0,75% by weight of oil"
2712.90,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured (excluding petroleum jelly and paraffin wax containing 0,75% by weight of oil)"
2713.11,"Petroleum coke, non-calcined"
2713.12,"Petroleum coke, calcined"
2713.20,Petroleum bitumen
2713.90,Residues of petroleum oil or of oil obtained from bituminous minerals (excluding petroleum coke and petroleum bitumen)
2714.10,Bituminous or oil-shale and tar sands
2714.90,"Bitumen and asphalt, natural; asphaltites and asphaltic rocks"
2715.00,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch"
2716.00,Electrical energy
2801.10,Chlorine
2801.20,Iodine
2801.30,Fluorine; bromine
2802.00,"Sulphur, sublimed or precipitated; colloidal sulphur"
2803.00,"Carbon (carbon blacks and other forms of carbon, n.e.s.)"
2804.10,Hydrogen
2804.21,Argon
2804.29,Rare gases (excluding argon)
2804.30,Nitrogen
2804.40,Oxygen
2804.50,Boron; tellurium
2804.61,"Silicon containing = 99,99% by weight of silicon"
2804.69,"Silicon containing 99,99% by weight of silicon"
2804.70,Phosphorus
2804.80,Arsenic
2804.90,Selenium
2805.11,Sodium
2805.12,Calcium
2805.19,Alkali or alkaline-earth metals (excluding sodium and calcium)
2805.30,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed"
2805.40,Mercury
2806.10,"Hydrogen chloride ""hydrochloric acid"""
2806.20,Chlorosulphuric acid
2807.00,Sulphuric acid; oleum
2808.00,Nitric acid; sulphonitric acids
2809.10,Diphosphorus pentaoxide
2809.20,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined"
2810.00,Oxides of boron; boric acids
2811.11,"Hydrogen fluoride ""hydrofluoric acid"""
2811.12,"Hydrogen cyanide ""hydrocyanic acid"""
2811.19,"Inorganic acids (excluding hydrogen chloride ""hydrochloric acid"", chlorosulphuric acid, sulphuric acid, oleum, nitric acid, sulphonitric acids, phosphoric acid, polyphosphoric acids, boric acids and hydrogen fluoride ""hydrofluoric acid"")"
2811.21,Carbon dioxide
2811.22,Silicon dioxide
2811.29,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, carbon dioxide and silicon dioxide)"
2812.11,"Carbonyl dichloride ""phosgene"""
2812.12,Phosphorus oxychloride
2812.13,Phosphorus trichloride
2812.14,Phosphorus pentachloride
2812.15,Sulphur monochloride
2812.16,Sulphur dichloride
2812.17,Thionyl chloride
2812.19,"Chlorides and chloride oxides (excl. carbonyl dichloride ""phosgene"", phosphorus oxy-, tri- and pentachloride, sulphur monochloride, sulphur dichloride and thionyl chloride)"
2812.90,Halides and halide oxides of non-metals (excluding chlorides and chloride oxides)
2813.10,Carbon disulphide
2813.90,Sulphides of non-metals (excluding carbon disulphide); commercial phosphorus trisulphide
2814.10,Anhydrous ammonia
2814.20,Ammonia in aqueous solution
2815.11,"Sodium hydroxide ""caustic soda"" solid"
2815.12,"Sodium hydroxide ""caustic soda"" in aqueous solution ""soda lye or liquid soda"""
2815.20,"Potassium hydroxide ""caustic potash"""
2815.30,Peroxides of sodium or potassium
2816.10,Hydroxide and peroxide of magnesium
2816.40,"Oxides, hydroxides and peroxides, of strontium or barium"
2817.00,Zinc oxide; zinc peroxide
2818.10,"Corundum, artificial, whether or not chemically defined"
2818.20,Aluminium oxide (excluding artificial corundum)
2818.30,Aluminium hydroxide
2819.10,Chromium trioxide
2819.90,Chromium oxides and hydroxides (excluding chromium trioxide)
2820.10,Manganese dioxide
2820.90,Manganese oxides (excluding manganese dioxide)
2821.10,Iron oxides and hydroxides
2821.20,Earth colours containing = 70% by weight of combined iron evaluated as Fe2O3
2822.00,Cobalt oxides and hydroxides; commercial cobalt oxides
2823.00,Titanium oxides
2824.10,"Lead monoxide ""litharge, massicot"""
2824.90,"Lead oxides (excluding monoxide ""litharge, massicot"")"
2825.10,Hydrazine and hydroxylamine and their inorganic salts
2825.20,Lithium oxide and hydroxide
2825.30,Vanadium oxides and hydroxides
2825.40,Nickel oxides and hydroxides
2825.50,Copper oxides and hydroxides
2825.60,Germanium oxides and zirconium dioxide
2825.70,Molybdenum oxides and hydroxides
2825.80,Antimony oxides
2825.90,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s."
2826.12,Fluoride of aluminium
2826.19,Fluorides (excluding of aluminium and mercury)
2826.30,"Sodium hexafluoroaluminate ""synthetic cryolite"""
2826.90,"Fluorosilicates, fluoroaluminates and other complex fluorine salts (excluding sodium hexafluoroaluminate ""synthetic cryolite"" and inorganic or organic compounds of mercury)"
2827.10,Ammonium chloride
2827.20,Calcium chloride
2827.31,Magnesium chloride
2827.32,Aluminium chloride
2827.35,Nickel chloride
2827.39,"Chlorides (excluding ammonium, calcium, magnesium, aluminium, nickel and mercury chloride)"
2827.41,Chloride oxides and chloride hydroxides of copper
2827.49,Chloride oxides and chloride hydroxides (excluding copper and mercury)
2827.51,Bromides of sodium or of potassium
2827.59,"Bromides and bromide oxides (excluding of sodium, potassium and mercury)"
2827.60,Iodides and iodide oxides (excluding inorganic or organic compounds of mercury)
2828.10,"Calcium hypochlorites, incl. commercial calcium hypochlorite"
2828.90,"Hypochlorites, chlorites and hypobromites (excluding calcium hypochlorites)"
2829.11,Chlorate of sodium
2829.19,Chlorates (excluding sodium)
2829.90,Perchlorates; bromates and perbromates; iodates and periodates (excluding inorganic or organic compounds of mercury)
2830.10,Sodium sulphides
2830.90,"Sulphides (excluding sodium); polysulphides, whether or not chemically defined (excluding inorganic or organic compounds of mercury whether or not chemically defined)"
2831.10,Dithionite and sulfoxylate of sodium
2831.90,Dithionites and sulfoxylates (excluding sodium)
2832.10,Sodium sulphites
2832.20,Sulphites (excluding sodium)
2832.30,Thiosulphates
2833.11,Disodium sulphate
2833.19,Sodium sulphates (excluding disodium)
2833.21,Sulphate of magnesium
2833.22,Sulphate of aluminium
2833.24,Sulphates of nickel
2833.25,Sulphates of copper
2833.27,Sulphate of barium
2833.29,"Sulphates (excluding of sodium, magnesium, aluminium, nickel, copper, barium and mercury)"
2833.30,Alums
2833.40,"Peroxosulphates ""persulphates"""
2834.10,Nitrites
2834.21,Nitrate of potassium
2834.29,Nitrates (excluding of potassium and of mercury)
2835.10,"Phosphinates ""hypophosphites"" and phosphonates ""phosphites"""
2835.22,Mono- or disodium phosphate
2835.24,Phosphates of potassium
2835.25,"Calcium hydrogenorthophosphate ""dicalcium phosphate"""
2835.26,"Phosphates of calcium (excluding calcium hydrogenorthophosphate ""dicalcium phosphate"")"
2835.29,"Phosphates (excluding phosphates of monosodium, disodium, potassium, calcium and mercury)"
2835.31,"Sodium triphosphate ""sodium tripolyphosphate"", whether or not chemically defined"
2835.39,"Polyphosphates, whether or not chemically defined (excluding sodium triphosphate ""sodium tripolyphosphate"", and inorganic or organic compounds of mercury whether or not chemically defined)"
2836.20,Disodium carbonate
2836.30,"Sodium hydrogencarbonate ""sodium bicarbonate"""
2836.40,Potassium carbonates
2836.50,Calcium carbonate
2836.60,Barium carbonate
2836.91,Lithium carbonates
2836.92,Strontium carbonate
